membership:autotest3_sample_set_id	autotest3_sample
check_run	SRR3984954
small	ERR719966
small	SRR11262366
small	ERR3453541
small	SRR12512309
small	SRR8861225
small	ERR2738611
small	ERR4352501
small	ERR1877770
small	ERR4577380
small	SRR6038407
small	SRR10002686
small	SRR10029126
small	ERR3406155
small	SRR4893026
small	SRR6487994
small	SRR8090771
small	ERR3593853
small	ERR4181511
small	SRR539437
small	ERR4865519
small	SRR5813263
small	ERR4031780
small	SRR1779149
small	SRR640352
small	ERR260154
small	ERR1915814
small	ERR1915575
small	ERR479216
small	ERR3680132
small	ERR5031941
small	SRR10667692
small	ERR3573267
small	ERR1913562
small	SRR540542
small	SRR7058443
small	ERR479168
small	SRR13004965
small	ERR3679759
small	ERR4374862
small	DRR128708
medium	SRR7206624
medium	SRR13502469
medium	SRR8890819
medium	SRR061477
medium	ERR1539431
medium	SRR9178091
medium	ERR3342492
medium	ERR4352741
medium	ERR4352680
medium	ERR1995157
large	ERR1726547
large	ERR2092774
large	ERR599334
large	ERR599205
large	ERR3589569
xlarge	SRR10143270
